epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.5759,1.03127,1.76883,1.43944,0.74733,0.55809,0.62434,0.3735,1.2897,1.81313,1.85135,0.00065942,0.00065942,0.00065942
2,52.2414,1.14638,1.44603,1.50386,0.53907,0.38229,0.3797,0.1411,1.87681,2.50104,2.79717,0.00129983,0.00129983,0.00129983
3,76.6434,1.19174,1.379,1.53464,0.54589,0.49101,0.47503,0.22414,1.66355,1.96106,2.05723,0.00191384,0.00191384,0.00191384
4,100.85,1.2193,1.33934,1.56292,0.68091,0.58095,0.61509,0.33356,1.42283,1.85839,1.90362,0.0018812,0.0018812,0.0018812
5,124.834,1.16859,1.2343,1.50721,0.73673,0.6221,0.69879,0.43602,1.29852,1.36764,1.726,0.0018416,0.0018416,0.0018416
6,149.069,1.12995,1.19153,1.49178,0.7354,0.65717,0.72016,0.46128,1.20446,1.30126,1.62425,0.001802,0.001802,0.001802
7,173.209,1.10156,1.12042,1.45864,0.77764,0.67309,0.7581,0.50458,1.15473,1.09842,1.58514,0.0017624,0.0017624,0.0017624
8,197.294,1.05869,1.06911,1.43626,0.78564,0.69895,0.78118,0.5219,1.12523,1.08989,1.56309,0.0017228,0.0017228,0.0017228
9,221.301,1.02137,1.01316,1.40008,0.77522,0.73783,0.8083,0.54246,1.10847,1.01071,1.48426,0.0016832,0.0016832,0.0016832
10,245.292,1.02129,0.99334,1.40931,0.83465,0.69838,0.7984,0.54379,1.08199,1.00982,1.49223,0.0016436,0.0016436,0.0016436
11,269.387,1.01181,1.0173,1.40057,0.81892,0.75669,0.85187,0.58662,1.00906,0.96564,1.45647,0.001604,0.001604,0.001604
12,293.498,0.97193,0.93639,1.37059,0.85528,0.75915,0.85712,0.61954,0.95249,0.85805,1.38389,0.0015644,0.0015644,0.0015644
13,317.802,0.9483,0.90497,1.35358,0.85579,0.76808,0.86112,0.60064,0.99495,0.92274,1.39987,0.0015248,0.0015248,0.0015248
14,342.177,0.93846,0.9069,1.3454,0.8661,0.77028,0.88187,0.65195,0.89105,0.82613,1.30897,0.0014852,0.0014852,0.0014852
15,366.341,0.93601,0.88971,1.33985,0.84851,0.7979,0.88404,0.65164,0.90381,0.75558,1.34612,0.0014456,0.0014456,0.0014456
16,390.601,0.91169,0.85596,1.31308,0.87126,0.79,0.88407,0.66172,0.87043,0.78696,1.29973,0.001406,0.001406,0.001406
17,414.865,0.90944,0.84243,1.32509,0.89537,0.79533,0.90328,0.67248,0.85636,0.72379,1.28405,0.0013664,0.0013664,0.0013664
18,439.067,0.88066,0.81358,1.29425,0.85834,0.81284,0.90332,0.68507,0.82217,0.69879,1.26114,0.0013268,0.0013268,0.0013268
19,463.269,0.89668,0.80918,1.30698,0.88802,0.81806,0.91319,0.70456,0.80323,0.65695,1.24996,0.0012872,0.0012872,0.0012872
20,487.343,0.86032,0.78902,1.28436,0.89398,0.83209,0.92066,0.70991,0.79565,0.63233,1.21483,0.0012476,0.0012476,0.0012476
21,511.377,0.83569,0.75561,1.27291,0.88302,0.85489,0.92288,0.73107,0.73809,0.63296,1.17948,0.001208,0.001208,0.001208
22,535.412,0.81865,0.72511,1.24828,0.89939,0.87006,0.93696,0.73603,0.74679,0.57562,1.20099,0.0011684,0.0011684,0.0011684
23,559.453,0.85177,0.74606,1.27593,0.88968,0.87199,0.93774,0.74776,0.72654,0.56658,1.16578,0.0011288,0.0011288,0.0011288
24,583.481,0.81601,0.70793,1.25459,0.90934,0.87946,0.94944,0.76126,0.70496,0.54435,1.15397,0.0010892,0.0010892,0.0010892
25,607.395,0.80183,0.68229,1.24063,0.90132,0.86095,0.93716,0.74525,0.71966,0.56592,1.17216,0.0010496,0.0010496,0.0010496
26,631.152,0.82543,0.71683,1.25409,0.92087,0.87755,0.94533,0.76858,0.68352,0.51387,1.13945,0.00101,0.00101,0.00101
27,655.075,0.78626,0.6852,1.22715,0.92273,0.87947,0.94833,0.76729,0.68985,0.52942,1.13352,0.0009704,0.0009704,0.0009704
28,679.024,0.78015,0.67654,1.22772,0.89725,0.86979,0.94512,0.75632,0.70428,0.57705,1.16107,0.0009308,0.0009308,0.0009308
29,703.059,0.77117,0.66438,1.2156,0.92051,0.87374,0.94685,0.7621,0.6916,0.51376,1.14792,0.0008912,0.0008912,0.0008912
30,726.853,0.74958,0.64859,1.20319,0.93544,0.8957,0.957,0.78317,0.66669,0.47085,1.11911,0.0008516,0.0008516,0.0008516
31,750.749,0.7478,0.64247,1.20328,0.93088,0.89303,0.95736,0.78932,0.65467,0.48914,1.10972,0.000812,0.000812,0.000812
32,774.697,0.75256,0.62591,1.20899,0.91927,0.88362,0.95222,0.78878,0.64167,0.48048,1.09033,0.0007724,0.0007724,0.0007724
33,798.536,0.71775,0.61497,1.18016,0.92832,0.89144,0.95711,0.78404,0.64505,0.49385,1.1077,0.0007328,0.0007328,0.0007328
34,822.304,0.7315,0.62386,1.19666,0.92125,0.91232,0.96317,0.80165,0.63061,0.45651,1.08707,0.0006932,0.0006932,0.0006932
35,846.209,0.70497,0.59079,1.17091,0.91669,0.91232,0.95916,0.7931,0.62709,0.4767,1.08349,0.0006536,0.0006536,0.0006536
36,870.095,0.72142,0.6047,1.18914,0.93178,0.8922,0.96325,0.80959,0.61081,0.45601,1.07103,0.000614,0.000614,0.000614
37,893.962,0.69735,0.59217,1.17492,0.92402,0.92238,0.96915,0.81716,0.59625,0.44247,1.05448,0.0005744,0.0005744,0.0005744
38,917.757,0.71665,0.5844,1.18244,0.9527,0.91844,0.97058,0.81999,0.59517,0.42906,1.052,0.0005348,0.0005348,0.0005348
39,941.636,0.67224,0.55057,1.15083,0.95193,0.91155,0.97059,0.83026,0.56671,0.41051,1.03548,0.0004952,0.0004952,0.0004952
